colname,colnameDisplay,colType,traitType,levels,comment
VBN_CODE,VBN_CODE,,,,
VBN_PRODUCTNAAM_NL,VBN_PRODUCTNAAM_NL,,,,
VKCNr,VKCNr,id,,,
filename,image,,,,
Bloeiwijze,Bloeiwijze,trait,factor,,
Bloemkleur,Bloemkleur,trait,factor,,Actually a color
Bloemkleur1,Bloemkleur1,trait,factor,,Actually a color
BloemRHS,BloemRHS,trait,RHS,,
BloemRHS1,BloemRHS1,trait,RHS,,
Bloemkleurverdeling,Bloemkleurverdeling,trait,factor,,
Bloemkleurverdeling1,Bloemkleurverdeling1,trait,factor,,
Bloemnevenkleur,Bloemnevenkleur,trait,factor,,Actually a color
Bloemnevenkleur1,Bloemnevenkleur1,trait,factor,,Actually a color
Bloemtype,Bloemtype,trait,factor,,
Bloemtype1,Bloemtype1,trait,factor,,
rasnummer,rasnummer,,,,
RVPnr,RVPnr,id,,,
X1.Blad..lengte,X1 Blad lengte,trait,ordered,long,
X2.Blad..breedte,X2 Blad breedte,trait,ordered,broad,
X3.Bladschijf..bobbeling,X3 Bladschijf bobbeling,trait,ordered,strong,
X4.Bladschijf..beharing.van.de.bovenzijde..middennerf.uitgezonderd.,X4 Bladschijf beharing van de bovenzijde middennerf uitgezonderd ,trait,ordered,dense,
X5.Bladschijf..diepte.van.de.insnijdingen.van.het.middelste.derde.deel,X5 Bladschijf diepte van de insnijdingen van het middelste derde deel,trait,ordered,deep,
X6.Bladschijf..groene.kleur.van.de.bovenzijde,X6 Bladschijf groene kleur van de bovenzijde,trait,ordered,dark,
X7.Bladschijf..vorm.top,X7 Bladschijf vorm top,trait,factor,,Could be ordered. Not sure
X8.Bloemstengel..lengte,X8 Bloemstengel lengte,trait,ordered,long,
X9.Bloemstengel..intensiteit.van.de.anthocyaankleuring.aan.de.basis,X9 Bloemstengel intensiteit van de anthocyaankleuring aan de basis,trait,ordered,strong,
X10.Bloeistengel..anthocyaankleuring.aan.de.top,X10 Bloeistengel anthocyaankleuring aan de top,trait,factor,,
X11.Bloemstengel..bracteeën.beneden.de.bloeiwijze,X11 Bloemstengel bracteeën beneden de bloeiwijze,trait,factor,,
X12.Bloemhoofdje..type,X12 Bloemhoofdje type,trait,factor,,
X13.Bloemhoofdje..diameter,X13 Bloemhoofdje diameter,trait,ordered,large,
X14.Bloemhoofdje..diameter.van.de.binnenste.lintbloemen.in.verhouding.tot.die.van.het.bloemhoofdje,X14 Bloemhoofdje diameter van de binnenste lintbloemen in verhouding tot die van het bloemhoofdje,trait,ordered,large,
